,c1,c2,c3
xkcd:fire engine red,#fe0002,#fe0002,#fe0002
xkcd:flat blue,#3c73a8,#3c73a8,#3c73a8
xkcd:flat green,#699d4c,#699d4c,#699d4c
xkcd:fluorescent green,#08ff08,#08ff08,#08ff08
xkcd:fluro green,#0aff02,#0aff02,#0aff02
xkcd:foam green,#90fda9,#90fda9,#90fda9
xkcd:forest,#0b5509,#0b5509,#0b5509
xkcd:forest green,#06470c,#06470c,#06470c
xkcd:forrest green,#154406,#154406,#154406
xkcd:french blue,#436bad,#436bad,#436bad
xkcd:fresh green,#69d84f,#69d84f,#69d84f
xkcd:frog green,#58bc08,#58bc08,#58bc08
xkcd:fuchsia,#ed0dd9,#ed0dd9,#ed0dd9
xkcd:gold,#dbb40c,#dbb40c,#dbb40c
xkcd:golden,#f5bf03,#f5bf03,#f5bf03
xkcd:golden brown,#b27a01,#b27a01,#b27a01
xkcd:golden rod,#f9bc08,#f9bc08,#f9bc08
xkcd:golden yellow,#fec615,#fec615,#fec615
xkcd:goldenrod,#fac205,#fac205,#fac205
xkcd:grape,#6c3461,#6c3461,#6c3461
xkcd:grape purple,#5d1451,#5d1451,#5d1451
xkcd:grapefruit,#fd5956,#fd5956,#fd5956
xkcd:grass,#5cac2d,#5cac2d,#5cac2d
xkcd:grass green,#3f9b0b,#3f9b0b,#3f9b0b
xkcd:grassy green,#419c03,#419c03,#419c03
xkcd:gray,#929591,#929591,#929591
xkcd:gray blue,#6b8ba4,#6b8ba4,#6b8ba4
xkcd:gray brown,#7f7053,#7f7053,#7f7053
xkcd:gray green,#789b73,#789b73,#789b73
xkcd:gray pink,#c3909b,#c3909b,#c3909b
xkcd:gray purple,#826d8c,#826d8c,#826d8c
xkcd:gray teal,#5e9b8a,#5e9b8a,#5e9b8a
xkcd:gray/blue,#647d8e,#647d8e,#647d8e
xkcd:gray/green,#86a17d,#86a17d,#86a17d
xkcd:grayblue,#77a1b5,#77a1b5,#77a1b5
xkcd:grayish,#a8a495,#a8a495,#a8a495
xkcd:grayish blue,#5e819d,#5e819d,#5e819d
xkcd:grayish brown,#7a6a4f,#7a6a4f,#7a6a4f
xkcd:grayish green,#82a67d,#82a67d,#82a67d
xkcd:grayish pink,#c88d94,#c88d94,#c88d94
xkcd:grayish purple,#887191,#887191,#887191
xkcd:grayish teal,#719f91,#719f91,#719f91
xkcd:green,#15b01a,#15b01a,#15b01a
xkcd:green apple,#5edc1f,#5edc1f,#5edc1f
xkcd:green blue,#06b48b,#06b48b,#06b48b
xkcd:green brown,#544e03,#544e03,#544e03
xkcd:green gray,#77926f,#77926f,#77926f
xkcd:green grey,#77926f,#77926f,#77926f
xkcd:green teal,#0cb577,#0cb577,#0cb577
xkcd:green yellow,#c9ff27,#c9ff27,#c9ff27
xkcd:green/blue,#01c08d,#01c08d,#01c08d
xkcd:green/yellow,#b5ce08,#b5ce08,#b5ce08
xkcd:greenblue,#23c48b,#23c48b,#23c48b
xkcd:greenish,#40a368,#40a368,#40a368
xkcd:greenish beige,#c9d179,#c9d179,#c9d179
xkcd:greenish blue,#0b8b87,#0b8b87,#0b8b87
xkcd:greenish brown,#696112,#696112,#696112
xkcd:greenish cyan,#2afeb7,#2afeb7,#2afeb7
xkcd:greenish gray,#96ae8d,#96ae8d,#96ae8d
xkcd:greenish grey,#96ae8d,#96ae8d,#96ae8d
xkcd:greenish tan,#bccb7a,#bccb7a,#bccb7a
xkcd:greenish teal,#32bf84,#32bf84,#32bf84
xkcd:greenish turquoise,#00fbb0,#00fbb0,#00fbb0
xkcd:greenish yellow,#cdfd02,#cdfd02,#cdfd02
xkcd:greeny blue,#42b395,#42b395,#42b395
xkcd:greeny brown,#696006,#696006,#696006
xkcd:greeny gray,#7ea07a,#7ea07a,#7ea07a
xkcd:greeny grey,#7ea07a,#7ea07a,#7ea07a
xkcd:greeny yellow,#c6f808,#c6f808,#c6f808
xkcd:grey,#929591,#929591,#929591
xkcd:grey blue,#6b8ba4,#6b8ba4,#6b8ba4
xkcd:grey brown,#7f7053,#7f7053,#7f7053
xkcd:grey green,#789b73,#789b73,#789b73
xkcd:grey pink,#c3909b,#c3909b,#c3909b
xkcd:grey purple,#826d8c,#826d8c,#826d8c
xkcd:grey teal,#5e9b8a,#5e9b8a,#5e9b8a
xkcd:grey/blue,#647d8e,#647d8e,#647d8e
xkcd:grey/green,#86a17d,#86a17d,#86a17d
xkcd:greyblue,#77a1b5,#77a1b5,#77a1b5
xkcd:greyish,#a8a495,#a8a495,#a8a495
xkcd:greyish blue,#5e819d,#5e819d,#5e819d
xkcd:greyish brown,#7a6a4f,#7a6a4f,#7a6a4f
xkcd:greyish green,#82a67d,#82a67d,#82a67d
xkcd:greyish pink,#c88d94,#c88d94,#c88d94
xkcd:greyish purple,#887191,#887191,#887191
xkcd:greyish teal,#719f91,#719f91,#719f91
xkcd:gross green,#a0bf16,#a0bf16,#a0bf16
xkcd:gunmetal,#536267,#536267,#536267
xkcd:hazel,#8e7618,#8e7618,#8e7618
xkcd:heather,#a484ac,#a484ac,#a484ac
xkcd:heliotrope,#d94ff5,#d94ff5,#d94ff5
xkcd:highlighter green,#1bfc06,#1bfc06,#1bfc06
xkcd:hospital green,#9be5aa,#9be5aa,#9be5aa
xkcd:hot green,#25ff29,#25ff29,#25ff29
xkcd:hot magenta,#f504c9,#f504c9,#f504c9
xkcd:hot pink,#ff028d,#ff028d,#ff028d
xkcd:hot purple,#cb00f5,#cb00f5,#cb00f5
xkcd:hunter green,#0b4008,#0b4008,#0b4008
xkcd:ice,#d6fffa,#d6fffa,#d6fffa
xkcd:ice blue,#d7fffe,#d7fffe,#d7fffe
xkcd:icky green,#8fae22,#8fae22,#8fae22
xkcd:indian red,#850e04,#850e04,#850e04
xkcd:indigo,#380282,#380282,#380282
xkcd:indigo blue,#3a18b1,#3a18b1,#3a18b1
xkcd:iris,#6258c4,#6258c4,#6258c4
xkcd:irish green,#019529,#019529,#019529
xkcd:ivory,#ffffcb,#ffffcb,#ffffcb
xkcd:jade,#1fa774,#1fa774,#1fa774
xkcd:jade green,#2baf6a,#2baf6a,#2baf6a
xkcd:jungle green,#048243,#048243,#048243
xkcd:kelley green,#009337,#009337,#009337
xkcd:kelly green,#02ab2e,#02ab2e,#02ab2e
xkcd:kermit green,#5cb200,#5cb200,#5cb200
xkcd:key lime,#aeff6e,#aeff6e,#aeff6e
xkcd:khaki,#aaa662,#aaa662,#aaa662
xkcd:khaki green,#728639,#728639,#728639
xkcd:kiwi,#9cef43,#9cef43,#9cef43
xkcd:kiwi green,#8ee53f,#8ee53f,#8ee53f
xkcd:lavender,#c79fef,#c79fef,#c79fef
xkcd:lavender blue,#8b88f8,#8b88f8,#8b88f8
xkcd:lavender pink,#dd85d7,#dd85d7,#dd85d7
xkcd:lawn green,#4da409,#4da409,#4da409
xkcd:leaf,#71aa34,#71aa34,#71aa34
xkcd:leaf green,#5ca904,#5ca904,#5ca904
xkcd:leafy green,#51b73b,#51b73b,#51b73b
xkcd:leather,#ac7434,#ac7434,#ac7434
xkcd:lemon,#fdff52,#fdff52,#fdff52
xkcd:lemon green,#adf802,#adf802,#adf802
xkcd:lemon lime,#bffe28,#bffe28,#bffe28
xkcd:lemon yellow,#fdff38,#fdff38,#fdff38
xkcd:lichen,#8fb67b,#8fb67b,#8fb67b
xkcd:light aqua,#8cffdb,#8cffdb,#8cffdb
xkcd:light aquamarine,#7bfdc7,#7bfdc7,#7bfdc7
xkcd:light beige,#fffeb6,#fffeb6,#fffeb6
xkcd:light blue,#95d0fc,#95d0fc,#95d0fc
xkcd:light blue gray,#b7c9e2,#b7c9e2,#b7c9e2
xkcd:light blue green,#7efbb3,#7efbb3,#7efbb3
xkcd:light blue grey,#b7c9e2,#b7c9e2,#b7c9e2
xkcd:light bluish green,#76fda8,#76fda8,#76fda8
xkcd:light bright green,#53fe5c,#53fe5c,#53fe5c
xkcd:light brown,#ad8150,#ad8150,#ad8150
xkcd:light burgundy,#a8415b,#a8415b,#a8415b
xkcd:light cyan,#acfffc,#acfffc,#acfffc
xkcd:light eggplant,#894585,#894585,#894585
xkcd:light forest green,#4f9153,#4f9153,#4f9153
xkcd:light gold,#fddc5c,#fddc5c,#fddc5c
xkcd:light grass green,#9af764,#9af764,#9af764
xkcd:light gray,#d8dcd6,#d8dcd6,#d8dcd6
xkcd:light gray blue,#9dbcd4,#9dbcd4,#9dbcd4
xkcd:light gray green,#b7e1a1,#b7e1a1,#b7e1a1
xkcd:light green,#96f97b,#96f97b,#96f97b
xkcd:light green blue,#56fca2,#56fca2,#56fca2
xkcd:light greenish blue,#63f7b4,#63f7b4,#63f7b4
xkcd:light grey,#d8dcd6,#d8dcd6,#d8dcd6
xkcd:light grey blue,#9dbcd4,#9dbcd4,#9dbcd4
xkcd:light grey green,#b7e1a1,#b7e1a1,#b7e1a1
xkcd:light indigo,#6d5acf,#6d5acf,#6d5acf
xkcd:light khaki,#e6f2a2,#e6f2a2,#e6f2a2
xkcd:light lavendar,#efc0fe,#efc0fe,#efc0fe
xkcd:light lavender,#dfc5fe,#dfc5fe,#dfc5fe
xkcd:light light blue,#cafffb,#cafffb,#cafffb
xkcd:light light green,#c8ffb0,#c8ffb0,#c8ffb0
xkcd:light lilac,#edc8ff,#edc8ff,#edc8ff
xkcd:light lime,#aefd6c,#aefd6c,#aefd6c
xkcd:light lime green,#b9ff66,#b9ff66,#b9ff66
xkcd:light magenta,#fa5ff7,#fa5ff7,#fa5ff7
xkcd:light maroon,#a24857,#a24857,#a24857
xkcd:light mauve,#c292a1,#c292a1,#c292a1
xkcd:light mint,#b6ffbb,#b6ffbb,#b6ffbb
xkcd:light mint green,#a6fbb2,#a6fbb2,#a6fbb2
xkcd:light moss green,#a6c875,#a6c875,#a6c875
xkcd:light mustard,#f7d560,#f7d560,#f7d560
xkcd:light navy,#155084,#155084,#155084
xkcd:light navy blue,#2e5a88,#2e5a88,#2e5a88
xkcd:light neon green,#4efd54,#4efd54,#4efd54
xkcd:light olive,#acbf69,#acbf69,#acbf69
xkcd:light olive green,#a4be5c,#a4be5c,#a4be5c
xkcd:light orange,#fdaa48,#fdaa48,#fdaa48
xkcd:light pastel green,#b2fba5,#b2fba5,#b2fba5
xkcd:light pea green,#c4fe82,#c4fe82,#c4fe82
xkcd:light peach,#ffd8b1,#ffd8b1,#ffd8b1
xkcd:light periwinkle,#c1c6fc,#c1c6fc,#c1c6fc
xkcd:light pink,#ffd1df,#ffd1df,#ffd1df
xkcd:light plum,#9d5783,#9d5783,#9d5783
xkcd:light purple,#bf77f6,#bf77f6,#bf77f6
xkcd:light red,#ff474c,#ff474c,#ff474c
xkcd:light rose,#ffc5cb,#ffc5cb,#ffc5cb
xkcd:light royal blue,#3a2efe,#3a2efe,#3a2efe
xkcd:light sage,#bcecac,#bcecac,#bcecac
xkcd:light salmon,#fea993,#fea993,#fea993
xkcd:light sea green,#98f6b0,#98f6b0,#98f6b0
xkcd:light seafoam,#a0febf,#a0febf,#a0febf
xkcd:light seafoam green,#a7ffb5,#a7ffb5,#a7ffb5
xkcd:light sky blue,#c6fcff,#c6fcff,#c6fcff
xkcd:light tan,#fbeeac,#fbeeac,#fbeeac
xkcd:light teal,#90e4c1,#90e4c1,#90e4c1
xkcd:light turquoise,#7ef4cc,#7ef4cc,#7ef4cc
xkcd:light urple,#b36ff6,#b36ff6,#b36ff6
xkcd:light violet,#d6b4fc,#d6b4fc,#d6b4fc
xkcd:light yellow,#fffe7a,#fffe7a,#fffe7a
xkcd:light yellow green,#ccfd7f,#ccfd7f,#ccfd7f
xkcd:light yellowish green,#c2ff89,#c2ff89,#c2ff89
xkcd:lightblue,#7bc8f6,#7bc8f6,#7bc8f6
xkcd:lighter green,#75fd63,#75fd63,#75fd63
xkcd:lighter purple,#a55af4,#a55af4,#a55af4
xkcd:lightgreen,#76ff7b,#76ff7b,#76ff7b
xkcd:lightish blue,#3d7afd,#3d7afd,#3d7afd
xkcd:lightish green,#61e160,#61e160,#61e160
xkcd:lightish purple,#a552e6,#a552e6,#a552e6
xkcd:lightish red,#fe2f4a,#fe2f4a,#fe2f4a
xkcd:lilac,#cea2fd,#cea2fd,#cea2fd
xkcd:liliac,#c48efd,#c48efd,#c48efd
xkcd:lime,#aaff32,#aaff32,#aaff32
xkcd:lime green,#89fe05,#89fe05,#89fe05
xkcd:lime yellow,#d0fe1d,#d0fe1d,#d0fe1d
xkcd:lipstick,#d5174e,#d5174e,#d5174e
xkcd:lipstick red,#c0022f,#c0022f,#c0022f
xkcd:macaroni and cheese,#efb435,#efb435,#efb435
xkcd:magenta,#c20078,#c20078,#c20078
xkcd:mahogany,#4a0100,#4a0100,#4a0100
xkcd:maize,#f4d054,#f4d054,#f4d054
xkcd:mango,#ffa62b,#ffa62b,#ffa62b
xkcd:manilla,#fffa86,#fffa86,#fffa86
xkcd:marigold,#fcc006,#fcc006,#fcc006
xkcd:marine,#042e60,#042e60,#042e60
xkcd:marine blue,#01386a,#01386a,#01386a
xkcd:maroon,#650021,#650021,#650021
xkcd:mauve,#ae7181,#ae7181,#ae7181
xkcd:medium blue,#2c6fbb,#2c6fbb,#2c6fbb
xkcd:medium brown,#7f5112,#7f5112,#7f5112
xkcd:medium gray,#7d7f7c,#7d7f7c,#7d7f7c
xkcd:medium green,#39ad48,#39ad48,#39ad48
xkcd:medium grey,#7d7f7c,#7d7f7c,#7d7f7c
xkcd:medium pink,#f36196,#f36196,#f36196
xkcd:medium purple,#9e43a2,#9e43a2,#9e43a2
xkcd:melon,#ff7855,#ff7855,#ff7855
xkcd:merlot,#730039,#730039,#730039
xkcd:metallic blue,#4f738e,#4f738e,#4f738e
xkcd:mid blue,#276ab3,#276ab3,#276ab3
xkcd:mid green,#50a747,#50a747,#50a747
xkcd:midnight,#03012d,#03012d,#03012d
xkcd:midnight blue,#020035,#020035,#020035
xkcd:midnight purple,#280137,#280137,#280137
xkcd:military green,#667c3e,#667c3e,#667c3e
xkcd:milk chocolate,#7f4e1e,#7f4e1e,#7f4e1e
xkcd:mint,#9ffeb0,#9ffeb0,#9ffeb0
xkcd:mint green,#8fff9f,#8fff9f,#8fff9f
xkcd:minty green,#0bf77d,#0bf77d,#0bf77d
xkcd:mocha,#9d7651,#9d7651,#9d7651
xkcd:moss,#769958,#769958,#769958
xkcd:moss green,#658b38,#658b38,#658b38
xkcd:mossy green,#638b27,#638b27,#638b27
xkcd:mud,#735c12,#735c12,#735c12
xkcd:mud brown,#60460f,#60460f,#60460f
xkcd:mud green,#606602,#606602,#606602
xkcd:muddy brown,#886806,#886806,#886806
xkcd:muddy green,#657432,#657432,#657432
xkcd:muddy yellow,#bfac05,#bfac05,#bfac05
xkcd:mulberry,#920a4e,#920a4e,#920a4e
xkcd:murky green,#6c7a0e,#6c7a0e,#6c7a0e
xkcd:mushroom,#ba9e88,#ba9e88,#ba9e88
xkcd:mustard,#ceb301,#ceb301,#ceb301
xkcd:mustard brown,#ac7e04,#ac7e04,#ac7e04
xkcd:mustard green,#a8b504,#a8b504,#a8b504
xkcd:mustard yellow,#d2bd0a,#d2bd0a,#d2bd0a
xkcd:muted blue,#3b719f,#3b719f,#3b719f
xkcd:muted green,#5fa052,#5fa052,#5fa052
xkcd:muted pink,#d1768f,#d1768f,#d1768f
xkcd:muted purple,#805b87,#805b87,#805b87
xkcd:nasty green,#70b23f,#70b23f,#70b23f
xkcd:navy,#01153e,#01153e,#01153e
xkcd:navy blue,#001146,#001146,#001146
xkcd:navy green,#35530a,#35530a,#35530a
xkcd:neon blue,#04d9ff,#04d9ff,#04d9ff
xkcd:neon green,#0cff0c,#0cff0c,#0cff0c
xkcd:neon pink,#fe019a,#fe019a,#fe019a
xkcd:neon purple,#bc13fe,#bc13fe,#bc13fe
xkcd:neon red,#ff073a,#ff073a,#ff073a
xkcd:neon yellow,#cfff04,#cfff04,#cfff04
xkcd:nice blue,#107ab0,#107ab0,#107ab0
xkcd:night blue,#040348,#040348,#040348
xkcd:ocean,#017b92,#017b92,#017b92
xkcd:ocean blue,#03719c,#03719c,#03719c
xkcd:ocean green,#3d9973,#3d9973,#3d9973
xkcd:ocher,#bf9b0c,#bf9b0c,#bf9b0c
xkcd:ochre,#bf9005,#bf9005,#bf9005
xkcd:ocre,#c69c04,#c69c04,#c69c04
xkcd:off blue,#5684ae,#5684ae,#5684ae
xkcd:off green,#6ba353,#6ba353,#6ba353
xkcd:off white,#ffffe4,#ffffe4,#ffffe4
xkcd:off yellow,#f1f33f,#f1f33f,#f1f33f
xkcd:old pink,#c77986,#c77986,#c77986
xkcd:old rose,#c87f89,#c87f89,#c87f89
xkcd:olive,#6e750e,#6e750e,#6e750e
xkcd:olive brown,#645403,#645403,#645403
xkcd:olive drab,#6f7632,#6f7632,#6f7632
xkcd:olive green,#677a04,#677a04,#677a04
xkcd:olive yellow,#c2b709,#c2b709,#c2b709
xkcd:orange,#f97306,#f97306,#f97306
xkcd:orange brown,#be6400,#be6400,#be6400
xkcd:orange pink,#ff6f52,#ff6f52,#ff6f52
xkcd:orange red,#fd411e,#fd411e,#fd411e
xkcd:orange yellow,#ffad01,#ffad01,#ffad01
xkcd:orangeish,#fd8d49,#fd8d49,#fd8d49
xkcd:orangered,#fe420f,#fe420f,#fe420f
xkcd:orangey brown,#b16002,#b16002,#b16002
xkcd:orangey red,#fa4224,#fa4224,#fa4224
xkcd:orangey yellow,#fdb915,#fdb915,#fdb915
xkcd:orangish,#fc824a,#fc824a,#fc824a
xkcd:orangish brown,#b25f03,#b25f03,#b25f03
xkcd:orangish red,#f43605,#f43605,#f43605
xkcd:orchid,#c875c4,#c875c4,#c875c4
xkcd:pale,#fff9d0,#fff9d0,#fff9d0
xkcd:pale aqua,#b8ffeb,#b8ffeb,#b8ffeb
xkcd:pale blue,#d0fefe,#d0fefe,#d0fefe
xkcd:pale brown,#b1916e,#b1916e,#b1916e
xkcd:pale cyan,#b7fffa,#b7fffa,#b7fffa
xkcd:pale gold,#fdde6c,#fdde6c,#fdde6c
xkcd:pale gray,#fdfdfe,#fdfdfe,#fdfdfe
xkcd:pale green,#c7fdb5,#c7fdb5,#c7fdb5
xkcd:pale grey,#fdfdfe,#fdfdfe,#fdfdfe
xkcd:pale lavender,#eecffe,#eecffe,#eecffe
xkcd:pale light green,#b1fc99,#b1fc99,#b1fc99
xkcd:pale lilac,#e4cbff,#e4cbff,#e4cbff
xkcd:pale lime,#befd73,#befd73,#befd73
xkcd:pale lime green,#b1ff65,#b1ff65,#b1ff65
xkcd:pale magenta,#d767ad,#d767ad,#d767ad
xkcd:pale mauve,#fed0fc,#fed0fc,#fed0fc
xkcd:pale olive,#b9cc81,#b9cc81,#b9cc81
xkcd:pale olive green,#b1d27b,#b1d27b,#b1d27b
xkcd:pale orange,#ffa756,#ffa756,#ffa756
xkcd:pale peach,#ffe5ad,#ffe5ad,#ffe5ad
xkcd:pale pink,#ffcfdc,#ffcfdc,#ffcfdc
xkcd:pale purple,#b790d4,#b790d4,#b790d4
xkcd:pale red,#d9544d,#d9544d,#d9544d
xkcd:pale rose,#fdc1c5,#fdc1c5,#fdc1c5
xkcd:pale salmon,#ffb19a,#ffb19a,#ffb19a
xkcd:pale sky blue,#bdf6fe,#bdf6fe,#bdf6fe
xkcd:pale teal,#82cbb2,#82cbb2,#82cbb2
xkcd:pale turquoise,#a5fbd5,#a5fbd5,#a5fbd5
xkcd:pale violet,#ceaefa,#ceaefa,#ceaefa
xkcd:pale yellow,#ffff84,#ffff84,#ffff84
xkcd:parchment,#fefcaf,#fefcaf,#fefcaf
xkcd:pastel blue,#a2bffe,#a2bffe,#a2bffe
xkcd:pastel green,#b0ff9d,#b0ff9d,#b0ff9d
xkcd:pastel orange,#ff964f,#ff964f,#ff964f
xkcd:pastel pink,#ffbacd,#ffbacd,#ffbacd
xkcd:pastel purple,#caa0ff,#caa0ff,#caa0ff
xkcd:pastel red,#db5856,#db5856,#db5856
xkcd:pastel yellow,#fffe71,#fffe71,#fffe71
xkcd:pea,#a4bf20,#a4bf20,#a4bf20
xkcd:pea green,#8eab12,#8eab12,#8eab12
xkcd:pea soup,#929901,#929901,#929901
xkcd:pea soup green,#94a617,#94a617,#94a617
xkcd:peach,#ffb07c,#ffb07c,#ffb07c
xkcd:peachy pink,#ff9a8a,#ff9a8a,#ff9a8a
xkcd:peacock blue,#016795,#016795,#016795
xkcd:pear,#cbf85f,#cbf85f,#cbf85f
xkcd:periwinkle,#8e82fe,#8e82fe,#8e82fe
xkcd:periwinkle blue,#8f99fb,#8f99fb,#8f99fb
xkcd:perrywinkle,#8f8ce7,#8f8ce7,#8f8ce7
xkcd:petrol,#005f6a,#005f6a,#005f6a
xkcd:pig pink,#e78ea5,#e78ea5,#e78ea5
xkcd:pine,#2b5d34,#2b5d34,#2b5d34
xkcd:pine green,#0a481e,#0a481e,#0a481e
xkcd:pink,#ff81c0,#ff81c0,#ff81c0
xkcd:pink purple,#db4bda,#db4bda,#db4bda
xkcd:pink red,#f5054f,#f5054f,#f5054f
xkcd:pink/purple,#ef1de7,#ef1de7,#ef1de7
xkcd:pinkish,#d46a7e,#d46a7e,#d46a7e
xkcd:pinkish brown,#b17261,#b17261,#b17261
xkcd:pinkish gray,#c8aca9,#c8aca9,#c8aca9
xkcd:pinkish grey,#c8aca9,#c8aca9,#c8aca9
xkcd:pinkish orange,#ff724c,#ff724c,#ff724c
xkcd:pinkish purple,#d648d7,#d648d7,#d648d7
xkcd:pinkish red,#f10c45,#f10c45,#f10c45
xkcd:pinkish tan,#d99b82,#d99b82,#d99b82
xkcd:pinky,#fc86aa,#fc86aa,#fc86aa
xkcd:pinky purple,#c94cbe,#c94cbe,#c94cbe
xkcd:pinky red,#fc2647,#fc2647,#fc2647
xkcd:piss yellow,#ddd618,#ddd618,#ddd618
xkcd:pistachio,#c0fa8b,#c0fa8b,#c0fa8b
xkcd:plum,#580f41,#580f41,#580f41
xkcd:plum purple,#4e0550,#4e0550,#4e0550
xkcd:poison green,#40fd14,#40fd14,#40fd14
xkcd:poo,#8f7303,#8f7303,#8f7303
xkcd:poo brown,#885f01,#885f01,#885f01
xkcd:poop,#7f5e00,#7f5e00,#7f5e00
xkcd:poop brown,#7a5901,#7a5901,#7a5901
xkcd:poop green,#6f7c00,#6f7c00,#6f7c00
xkcd:powder blue,#b1d1fc,#b1d1fc,#b1d1fc
xkcd:powder pink,#ffb2d0,#ffb2d0,#ffb2d0
xkcd:primary blue,#0804f9,#0804f9,#0804f9
xkcd:prussian blue,#004577,#004577,#004577
xkcd:puce,#a57e52,#a57e52,#a57e52
xkcd:puke,#a5a502,#a5a502,#a5a502
xkcd:puke brown,#947706,#947706,#947706
xkcd:puke green,#9aae07,#9aae07,#9aae07
xkcd:puke yellow,#c2be0e,#c2be0e,#c2be0e
xkcd:pumpkin,#e17701,#e17701,#e17701
xkcd:pumpkin orange,#fb7d07,#fb7d07,#fb7d07
xkcd:pure blue,#0203e2,#0203e2,#0203e2
xkcd:purple,#7e1e9c,#7e1e9c,#7e1e9c
xkcd:purple blue,#632de9,#632de9,#632de9
xkcd:purple brown,#673a3f,#673a3f,#673a3f
xkcd:purple gray,#866f85,#866f85,#866f85
xkcd:purple grey,#866f85,#866f85,#866f85
xkcd:purple pink,#e03fd8,#e03fd8,#e03fd8
xkcd:purple red,#990147,#990147,#990147
xkcd:purple/blue,#5d21d0,#5d21d0,#5d21d0
xkcd:purple/pink,#d725de,#d725de,#d725de
xkcd:purpleish,#98568d,#98568d,#98568d
xkcd:purpleish blue,#6140ef,#6140ef,#6140ef
xkcd:purpleish pink,#df4ec8,#df4ec8,#df4ec8
xkcd:purpley,#8756e4,#8756e4,#8756e4
xkcd:purpley blue,#5f34e7,#5f34e7,#5f34e7
xkcd:purpley gray,#947e94,#947e94,#947e94
xkcd:purpley grey,#947e94,#947e94,#947e94
xkcd:purpley pink,#c83cb9,#c83cb9,#c83cb9
xkcd:purplish,#94568c,#94568c,#94568c
xkcd:purplish blue,#601ef9,#601ef9,#601ef9
xkcd:purplish brown,#6b4247,#6b4247,#6b4247
xkcd:purplish gray,#7a687f,#7a687f,#7a687f
xkcd:purplish grey,#7a687f,#7a687f,#7a687f
xkcd:purplish pink,#ce5dae,#ce5dae,#ce5dae
xkcd:purplish red,#b0054b,#b0054b,#b0054b
xkcd:purply,#983fb2,#983fb2,#983fb2
xkcd:purply blue,#661aee,#661aee,#661aee
xkcd:purply pink,#f075e6,#f075e6,#f075e6
xkcd:putty,#beae8a,#beae8a,#beae8a
xkcd:racing green,#014600,#014600,#014600
xkcd:radioactive green,#2cfa1f,#2cfa1f,#2cfa1f
xkcd:raspberry,#b00149,#b00149,#b00149
xkcd:raw sienna,#9a6200,#9a6200,#9a6200
xkcd:raw umber,#a75e09,#a75e09,#a75e09
xkcd:really light blue,#d4ffff,#d4ffff,#d4ffff
xkcd:red,#e50000,#e50000,#e50000
xkcd:red brown,#8b2e16,#8b2e16,#8b2e16
xkcd:red orange,#fd3c06,#fd3c06,#fd3c06
xkcd:red pink,#fa2a55,#fa2a55,#fa2a55
xkcd:red purple,#820747,#820747,#820747
xkcd:red violet,#9e0168,#9e0168,#9e0168
xkcd:red wine,#8c0034,#8c0034,#8c0034
xkcd:reddish,#c44240,#c44240,#c44240
xkcd:reddish brown,#7f2b0a,#7f2b0a,#7f2b0a
xkcd:reddish gray,#997570,#997570,#997570
xkcd:reddish grey,#997570,#997570,#997570
xkcd:reddish orange,#f8481c,#f8481c,#f8481c
xkcd:reddish pink,#fe2c54,#fe2c54,#fe2c54
xkcd:reddish purple,#910951,#910951,#910951
xkcd:reddy brown,#6e1005,#6e1005,#6e1005
xkcd:rich blue,#021bf9,#021bf9,#021bf9
xkcd:rich purple,#720058,#720058,#720058
xkcd:robin egg blue,#8af1fe,#8af1fe,#8af1fe
xkcd:robin's egg,#6dedfd,#6dedfd,#6dedfd
xkcd:robin's egg blue,#98eff9,#98eff9,#98eff9
xkcd:rosa,#fe86a4,#fe86a4,#fe86a4
xkcd:rose,#cf6275,#cf6275,#cf6275
xkcd:rose pink,#f7879a,#f7879a,#f7879a
xkcd:rose red,#be013c,#be013c,#be013c
xkcd:rosy pink,#f6688e,#f6688e,#f6688e
xkcd:rouge,#ab1239,#ab1239,#ab1239
xkcd:royal,#0c1793,#0c1793,#0c1793
xkcd:royal blue,#0504aa,#0504aa,#0504aa
xkcd:royal purple,#4b006e,#4b006e,#4b006e
xkcd:ruby,#ca0147,#ca0147,#ca0147
xkcd:russet,#a13905,#a13905,#a13905
xkcd:rust,#a83c09,#a83c09,#a83c09
xkcd:rust brown,#8b3103,#8b3103,#8b3103
xkcd:rust orange,#c45508,#c45508,#c45508
xkcd:rust red,#aa2704,#aa2704,#aa2704
xkcd:rusty orange,#cd5909,#cd5909,#cd5909
xkcd:rusty red,#af2f0d,#af2f0d,#af2f0d
xkcd:saffron,#feb209,#feb209,#feb209
xkcd:sage,#87ae73,#87ae73,#87ae73
xkcd:sage green,#88b378,#88b378,#88b378
xkcd:salmon,#ff796c,#ff796c,#ff796c
xkcd:salmon pink,#fe7b7c,#fe7b7c,#fe7b7c
xkcd:sand,#e2ca76,#e2ca76,#e2ca76
xkcd:sand brown,#cba560,#cba560,#cba560
xkcd:sand yellow,#fce166,#fce166,#fce166
xkcd:sandstone,#c9ae74,#c9ae74,#c9ae74
xkcd:sandy,#f1da7a,#f1da7a,#f1da7a
xkcd:sandy brown,#c4a661,#c4a661,#c4a661
xkcd:sandy yellow,#fdee73,#fdee73,#fdee73
xkcd:sap green,#5c8b15,#5c8b15,#5c8b15
xkcd:sapphire,#2138ab,#2138ab,#2138ab
xkcd:scarlet,#be0119,#be0119,#be0119
xkcd:sea,#3c9992,#3c9992,#3c9992
